From	To
Q6TGC4	353238
P23743	1606
O43272	5625
Q9UGM1	55584
P28074	5693
P50391	100996758
P50391	5540
Q14627	3598
P06280	2717
P09467	2203
Q8WXI7	94025
Q16831	7378
O14717	1787
P52848	3340
P53778	6300
O00244	475
P54278	5395
P25311	563
P10632	1558
Q96CD2	60490
P16152	873
Q12756	547
Q9Y468	26013
P58335	118429
P18085	378
P16144	3691
Q7L5Y9	10296
Q8TDV5	139760
Q15759	5600
O15264	5603
Q9GZP0	80310
Q96AE4	8880
Q02224	1062
P04234	915
Q13421	10232
Q969F8	84634
P27037	92
P16615	488
Q03431	5745
P05186	249
P11678	8288
Q8IZS8	55799
P62745	388
Q95460	3140
P33402	2977
Q9Y2I1	11188
Q9NPC2	51305
O00591	2568
P00709	3906
P29034	6273
P33260	1562
Q7LG56	50484
Q07864	5426
P07098	8513
Q9NS85	56934
O75493	770
Q8N1Q1	377677
Q07699	6324
Q8IWT1	6330
O15440	10057
P51511	4324
Q9ULZ9	4326
Q8N119	118856
Q9NRE1	56547
P23258	7283
O60658	5151
Q9UNA0	11096
Q15596	10499
Q16651	5652
P15085	1357
Q9BVJ7	54935
Q13554	816
Q14914	22949
P51955	4751
Q9UGN5	10038
Q9NQS7	3619
P84077	375
P62750	6147
P62917	6132
P39023	6122
P08574	1537
P47985	7386
Q9UBT6	51426
P28838	51056
P30301	4284
P28070	5692
Q99436	5695
Q9HB40	59342
P19784	1459
P13073	1327
P10606	1329
P09669	1345
Q9UNK4	26279
Q9H2G2	9748
Q9Y6F1	10039
Q15375	2045
P04632	826
Q969V6	57591
P62330	382
O15143	10095
O15144	10109
Q15418	6195
P11684	7356
P35080	5217
P30419	4836
P55196	4301
Q86WA6	670
P80192	4293
Q9HBL8	57407
Q9Y3I0	51493
Q99470	6388
P15170	2935
P00558	5230
P02144	4151
P22570	2232
P35749	4629
P35241	5962
P26572	4245
P21283	528
P16930	2184
P50607	7275
Q9GZU7	58190
P61024	1163
P49368	7203
O75976	1362
P14621	98
P62258	7531
O60264	8467
Q16613	15
Q9UQB9	6795
P61587	390
O75676	8986
Q99661	11004
O15111	1147
Q99835	6608
Q16832	4921
Q9Y2U5	10746
Q5XXA6	55107
P57059	102724428
P57059	150094
Q8WXA8	170572
Q9HB55	64816
P51812	6197
Q05513	5590
Q9Y698	10369
Q15878	777
Q9UGJ0	51422
Q9UGI9	53632
Q96S86	145864
Q86UW8	404037
Q14520	3026
P62807	3017
P62807	8339
P62807	8343
P62807	8344
P62807	8346
P62807	8347
O95259	3756
O00299	1192
P67870	1460
Q86T13	161198
P09769	2268
P54756	2044
Q9Y2T6	9290
Q969S2	252969
O95750	9965
P46663	623
Q9UQL6	10014
P07438	4490
P04733	4494
P13640	4495
P80294	4496
Q8N339	4499
P35556	2201
P10589	7025
P09525	307
P43652	173
P30101	2923
P50453	5272
Q8N1G2	23070
Q9Y230	10856
Q15393	23450
Q9NR28	56616
P17980	5702
O43399	7165
P19823	3698
P35908	3849
P02750	116844
P46736	79184
Q86YZ3	388697
P02538	3853
P62241	6202
P46781	6203
Q15942	7791
P36894	657
Q13873	659
P20393	9572
Q14995	9975
Q9UK32	27330
Q9Y6E0	8428
Q9H2K8	51347
P35590	7075
Q86UE8	11011
Q9UKE5	23043
O00238	658
Q14012	8536
Q00532	8814
Q9Y463	9149
Q9UF33	285220
Q14164	9641
Q9Y2K2	23387
O43283	9175
Q99759	4215
O95819	9448
Q9Y2H9	22983
P42679	4145
Q9BUB5	8569
Q9HBH9	2872
P51956	4752
Q6P3R8	341676
Q16288	4916
O96013	10298
Q9NQU5	106821730
Q9NQU5	56924
Q86V86	415116
Q8TBX8	79837
Q99640	9088
O00444	10733
Q13523	8899
Q9BRS2	83732
Q9H0K1	23235
P36404	402
Q16659	5597
P41968	4159
Q9NPA2	64386
P53396	47
O95977	8698
P04196	3273
P41238	339
P20020	490
Q9H2H9	81539
Q96QD8	54407
O75185	9914
Q16850	1595
Q9Y5Y9	6336
O95069	3776
P15382	3753
P54289	781
P21817	6261
P35499	6329
P48544	3762
Q15842	3764
Q9NZV8	3751
Q9NY72	55800
Q09013	1760
Q13557	817
P36871	5236
P46976	2992
P22459	3739
Q59H18	100526835
Q59H18	51086
P33032	4161
Q8TD43	54795
Q9Y6J6	9992
Q8WWG9	23704
Q8NFA2	124056
Q14894	1428
Q9UG56	23761
Q16787	3909
P02458	1280
O60568	8985
Q9NSE4	55699
P37268	2222
P51570	2584
P40429	23521
P32019	3633
P05062	229
Q96L12	125972
O43526	3785
O43525	3786
Q9NR82	56479
Q9BQB6	79001
Q96PD7	84649
O14791	8542
Q96DP5	123263
P48764	6550
P54710	486
P05543	6906
P61457	5092
Q12851	5871
Q9Y600	51380
P69905	3039
P69905	3040
P08185	866
Q9UDX4	266629
O75311	8001
P47871	2642
P51648	224
O95865	23564
O60494	8029
P49366	1725
P02675	2244
P10768	2098
P04746	279
P26010	3695
Q9ULX7	23632
Q9UJT0	51175
P25788	5684
P09668	1512
Q96SW2	51185
Q9UHF0	6866
Q9Y616	11213
Q15800	6307
Q9BYV1	64902
Q15031	23395
Q02252	4329
P40939	3030
P47872	6344
P37058	3293
P0DMS8	140
Q16836	3033
P54802	4669
P41595	3357
Q8TE23	80834
O15269	10558
P43353	221
Q7RTX0	83756
P48163	4199
P16233	5406
O00763	32
P06732	1158
P14868	1615
P51788	1181
O15217	2941
Q9Y2Q0	10396
P35247	6441
P17213	671
P00568	203
P16519	5126
O95838	9340
Q8TCT1	162466
P55809	5019
O00341	6512
O14880	4259
P35754	2745
Q16760	8527
O43766	11019
P54284	784
Q01668	776
Q96FI4	79661
P20807	825
P17538	1504
P19099	1585
Q9Y5Y4	11251
Q13332	5802
P23467	5787
O14983	487
P04118	1208
O14818	5688
P24310	1346
Q9Y6Y9	23643
Q15119	5164
Q13555	818
Q16762	7263
P09110	30
Q9UL51	610
Q96S37	116085
Q01118	6332
Q99712	3772
O43741	5565
P48050	3761
Q92806	3765
P25105	5724
Q02818	4924
P23276	3792
O00303	8665
P67936	7171
O75636	8547
P50914	9045
Q15637	7536
Q9H422	10114
Q9Y4K4	11183
O15146	4593
O75747	5288
Q9Y6T7	1607
P48728	275
P78348	41
P43007	6509
P59768	54331
Q16348	6565
P20231	64499
P49356	100529261
P49356	2342
Q9NQ25	57823
P46597	438
Q8N8N7	145482
Q15661	7177
Q92696	5875
P53611	5876
Q9NPJ3	55856
Q14697	23193
Q7Z5B4	79608
P07498	1448
Q9BQI3	27102
P07478	5645
P04350	10382
P50440	2628
O15399	2906
Q9UHI5	23428
O14732	3613
Q14123	5137
P31942	3189
Q13237	5593
Q08188	7053
O14936	8573
Q9P2E9	6238
P41743	5584
P52564	5608
P27449	527
Q14432	5139
Q92953	9312
P31995	9103
P49257	3998
Q8NI22	90411
Q86U10	374569
P02679	2266
P51168	6338
O00764	8566
O95139	4712
P49821	4723
P05165	5095
P28331	4719
O43678	4695
O43837	3420
P35368	147
P30043	645
P23378	2731
P51164	496
Q16772	2940
P10696	251
Q15858	6335
P49773	3094
Q9UBX1	8722
Q14376	2582
P05452	7123
Q9BY66	8284
O14521	6392
Q99643	6391
Q5T601	266977
P09012	6626
Q9Y3R4	4759
P05162	3957
P38606	523
P25786	5682
P11488	2779
Q9P289	51765
P61158	10096
Q15120	5165
P17544	11016
P48723	6782
Q07020	6141
P62277	6207
Q9BYT3	65975
P51813	660
Q92772	8999
Q8N8Y2	245972
P10620	4257
O95363	10667
O60547	2762
Q9ULU8	8618
Q99829	8904
P50213	3419
Q16602	10203
Q15274	23475
P05023	476
Q08493	5143
Q99542	4327
Q9UHY7	58478
O00217	4728
O75746	8604
P38435	2677
Q9UN19	27071
Q96LZ3	5535
O75936	8424
P20618	5689
P45880	7417
O95749	9453
P49720	5691
Q6UWM7	197021
Q6NVY1	26275
P31323	5577
P49190	5746
P10915	1404
Q14872	4520
P31946	7529
P27348	10971
P29622	5267
P19827	3697
Q9C098	85443
Q9H2X9	57468
O15239	4694
P55011	6558
Q13621	6557
Q8N5Z0	51166
Q16478	2901
P34096	6038
P48664	6511
O75899	9568
Q9H228	53637
P63208	6500
Q96PY6	4750
P52429	8526
Q16773	883
P28221	3352
Q9NYX4	50632
Q8N9I0	127833
Q6YP21	56267
Q9NXG6	54681
Q08289	783
Q15825	8973
Q96MA6	158067
P47898	3361
Q8TCG2	55300
Q06033	3699
Q9ULD8	23416
Q86XP1	160851
P51170	6340
P49189	223
Q03154	95
P22748	762
O60664	10226
P46059	6564
O95255	368
P35243	5957
Q8NFW8	55907
Q9UEW8	27347
P37288	552
Q02928	1579
O60894	10267
P51800	1187
P09958	5045
P18846	466
O95747	9943
P09417	5860
Q13698	779
Q6WRI0	285313
Q9Y2Z4	51067
P43119	5739
Q9HCR9	50940
P14649	140465
Q8WY07	84889
O43704	27284
P22792	1370
Q96RQ9	259307
P30273	2207
P33316	1854
P02746	713
P02747	714
Q6IA69	55191
Q5JPH6	124454
P28066	5686
Q9UM01	9056
P01591	3512
P29376	4058
Q52WX2	388228
Q9UEE5	9263
O95670	534
Q99584	6284
P09884	5422
P16219	35
Q16134	2110
Q7Z406	79784
P15259	5224
O00142	7084
Q8IYT8	9706
P26639	6897
Q70Z44	200909
A5X5Y0	285242
P51649	7915
Q14353	2593
P55263	132
P56696	9132
Q9Y296	51399
P48066	6538
Q9NSD5	6540
Q8NEV4	53904
P15313	525
Q12965	4643
P47944	84560
Q96D53	79934
Q9H252	81033
Q9NSA0	55867
P25815	6286
P25787	5683
Q9Y4I5	9633
P46782	6193
O75348	9550
Q9NR33	56655
O60939	6327
P19404	4729
P07814	2058
Q08426	1962
O43681	439
Q71U36	7846
Q96LB9	114771
P13861	5576
Q99705	2847
P07919	7388
O15145	10094
Q96PD5	114770
Q9UF02	27091
P29973	1259
Q8TF61	150726
Q04917	7533
Q8TDR2	140901
O14976	2580
Q92781	5959
P49247	22934
P16591	2241
P03923	4541
Q969G6	55312
O95178	4708
P23919	1841
O00204	6820
P09960	4048
Q8WVQ1	124583
O60513	8702
Q9UJ70	55577
Q969I3	92292
Q8NBQ5	51170
P78334	2564
Q9UJM8	54363
P84098	6143
Q01581	3157
O75521	10455
Q8WWQ8	55576
Q13938	828
P15880	6187
P31943	3187
Q9UEW3	8685
P21291	1465
O15393	7113
P26640	7407
Q9Y285	2193
O75380	4726
P07437	203068
P23368	4200
O43674	4711
P08173	1132
P05166	5096
P48507	2730
P23416	2742
Q00975	774
P30520	159
Q16774	2987
O60840	778
Q86US8	23293
O43617	27095
Q9BVA1	347733
O14764	2563
P61927	6167
P36542	509
P02689	5375
Q86VU5	118881
P36405	403
P02708	1134
Q9UBN1	27092
Q9BXT2	59285
Q8WXS5	59283
P10412	3008
P43487	5902
Q6V0L0	340665
Q9NR63	56603
P04217	1
P31152	5596
P51957	6787
Q9BQ31	3790
O75912	9162
Q96A05	90423
P23415	2741
Q96T66	349565
Q15750	10454
Q75N90	84467
Q6ZN16	389840
P05546	3053
Q9H4B7	81027
Q6PHW0	389434
Q9Y619	10166
P53609	5229
Q14330	2841
Q9UJT1	51174
Q9BZV3	50939
Q9H1R3	85366
P42681	7294
Q32MK0	91807
P0DJD9	5222
Q7L3T8	25973
Q9NY65	51807
Q9NXE4	55627
Q9NRX3	56901
Q9UKG9	54677
O75600	23464
Q14181	23649
O75306	4720
Q8N0U8	154807
Q99418	9266
P55769	4809
P25789	5685
P54819	204
Q8N907	199699
Q8N5S9	84254
Q969I6	55089
P17050	4668
Q9NVH6	55217
Q9BXJ7	81693
Q05932	2356
Q6UWN8	404203
Q9Y266	10726
Q86VZ1	286530
Q96ER9	79714
Q9Y234	51601
Q9UJS0	10165
Q9HD40	51091
Q9BW92	80222
P14770	2815
Q9NZK7	30814
O43169	80777
Q5JVS0	22927
O95298	4718
Q02641	782
P52961	417
P07686	3074
Q9NZD2	51228
Q9ULW8	51702
Q9Y277	7419
Q9UHQ9	51706
O15304	10572
P62269	6222
Q6IQ20	222236
P48729	1452
O14735	10423
P07451	761
O15511	10092
P22314	7317
Q9UHC3	9311
O15375	9121
O75911	9249
O60882	9313
Q9H169	81551
Q86W47	27345
Q8NEY4	245973
Q9NSD9	10056
Q9UDW1	29796
O60896	10268
P49619	1608
P23469	5791
P22695	7385
P15954	1350
P19961	280
Q0VD83	55911
P47775	2835
Q99677	2846
P48167	2743
O94903	11212
Q8NCM2	27133
Q8TDN2	169522
Q14722	7881
Q13303	8514
Q96NR8	145226
P43080	118142757
P43080	2978
Q8N8R3	123096
P12532	1159
P12532	548596
P26440	3712
P17540	1160
Q9UP95	6560
P36873	5501
Q15075	8411
P49354	2339
P08048	7544
O43252	9061
P14927	7381
P24311	1349
Q460N3	165631
Q9Y6I3	29924
Q96BH3	64100
Q9NYQ3	51179
Q8NG66	79858
P35913	5158
Q8WYK2	122953
Q9NRP7	27148
Q9Y2H1	23012
Q6PHR2	25989
Q8TD19	91754
P78356	8396
O14730	8780
Q9H3Y6	6725
Q9BPV8	53829
Q93050	535
P54750	5136
Q9HBG4	50617
Q14565	11144
O14949	27089
P34981	7201
Q99884	6534
O60678	10196
Q03393	5805
Q86YB8	56605
O94804	6793
Q8IUZ5	85007
Q96NX5	57172
Q92952	3780
Q15155	23420
Q9P2N6	55683
Q56UN5	80122
Q15391	9934
Q92947	2639
Q5KSL6	139189
P43166	766
P08909	25187
P51160	5146
P16499	5145
P02918	947907
P02919	944843
P76577	947152
P0AD65	75205004
P0AD65	945240
P0AD68	75202099
P0AD68	944799
H3BUU9	1009
Q8MU52	811768
P0AES4	75206476
P0AES4	946614
Q59192	936151
P05653	940002
P56282	5427
P10613	3641571
Q8IVH4	166785
Q9Y4U1	25974
Q06432	786
Q14500	3768
O60359	10368
P62955	59284
Q7Z3S7	93589
O43193	2862
Q9GZZ6	57053
P02585	7125
P51857	6718
P12461	3643463
P00720	1258585
Q9Y257	9424
P50859	2887532
Q23022	172105
Q9N587	172150
Q27218	178269
P48181	172703
P9WJI5	888005
Q9NPA1	27094
Q16322	3744
Q9NSA2	3750
Q9UJ90	23630
Q9H3M0	3754
Q9UIX4	3755
Q9UJ96	26251
Q8TAE7	170850
Q8TDN1	93107
Q96KK3	3787
Q6PIU1	27012
Q9UNX9	3770
Q8TET4	2595
P0A7X3	949000
P0A7X3	98390344
P0A7V8	93778691
P0A7V8	947793
O00398	27334
P0AFU8	93775817
P0AFU8	945848
P18545	5148
Q13956	5149
Q89ZI2	60925570
P02359	947846
P0AG59	93778680
P0AG59	947801
P0A7V3	947814
P0A7V3	97603663
P0A7W7	93778681
P0A7W7	947802
P0A7U3	947811
P0A7U3	98390438
Q9Y4R7	26140
P0ABQ4	93777387
P0ABQ4	944790
Q9BTZ2	10901
Q8NBN7	112724
Q6NUM9	54884
Q8TC12	51109
Q9NYR8	50700
Q9UDX3	284904
Q9Y2D0	11238
