From	To
P19878	NCF2
Q15080	NCF4
O95718	ESRRB
Q96G91	P2RY11
Q9HC97	GPR35
O75880	SCO1
P21453	S1PR1
Q96DB2	HDAC11
O14958	CASQ2
P31415	CASQ1
Q06323	PSME1
Q8TCT9	HM13
Q9UJU2	LEF1
P39748	FEN1
P00846	MT-ATP6
P61604	HSPE1
Q969G3	SMARCE1
P06753	TPM3
P04264	KRT1
P13645	KRT10
P20851	C4BPB
Q9ULY5	CLEC4E
Q14103	HNRNPD
P39019	RPS19
P17844	DDX5
Q9HC29	NOD2
Q92911	SLC5A5
Q13188	STK3
Q15208	STK38
Q7L7X3	TAOK1
Q9BXA7	TSSK1B
P30530	AXL
P51451	BLK
Q92918	MAP4K1
Q8IVH8	MAP4K3
Q8N4C8	MINK1
Q13177	PAK2
Q16513	PKN2
O43353	RIPK2
P51679	CCR4
Q9Y6K1	DNMT3A
P02790	HPX
P21860	ERBB3
Q05209	PTPN12
P29350	PTPN6
P21549	AGXT
P13647	KRT5
P51172	SCNN1D
Q12882	DPYD
P16455	MGMT
P39900	MMP12
P42126	ECI1
Q02880	TOP2B
P08729	KRT7
Q9NWT6	HIF1AN
Q03403	TFF2
P0CG29	GSTT2
Q96I15	SCLY
P31025	LCN1
P56537	EIF6
Q9NRH2	SNRK
O43246	SLC7A4
Q9NS75	CYSLTR2
P00367	GLUD1
O14727	APAF1
Q14626	IL11RA
P38484	IFNGR2
O14561	NDUFAB1
P15509	CSF2RA
P00966	ASS1
Q8NFJ5	GPRC5A
Q9Y271	CYSLTR1
P15260	IFNGR1
P49448	GLUD2
P17812	CTPS1
P49888	SULT1E1
P27824	CANX
P26951	IL3RA
P23946	CMA1
Q4U2R8	SLC22A6
P24941	CDK2
P04183	TK1
Q96RI1	NR1H4
P22749	GNLY
P05154	SERPINA5
P21912	SDHB
Q2M3G0	ABCB5
Q06609	RAD51
P27707	DCK
Q05397	PTK2
Q01064	PDE1B
P21926	CD9
Q92934	BAD
O14763	TNFRSF10B
P06734	FCER2
Q07817	BCL2L1
P04798	CYP1A1
P24462	CYP3A7
P63092	GNAS
Q13362	PPP2R5C
P33981	TTK
Q8IVS2	MCAT
P62913	RPL11
Q9UKQ2	ADAM28
Q9NPH2	ISYNA1
P49411	TUFM
Q92637	FCGR1BP
O75330	HMMR
Q14542	SLC29A2
Q9UP52	TFR2
Q9Y2D1	ATF5
P62736	ACTA2
O75340	PDCD6
P04279	SEMG1
Q969S8	HDAC10
P14866	HNRNPL
Q6FHJ7	SFRP4
P27635	RPL10
Q16518	RPE65
O75533	SF3B1
Q9NSY1	BMP2K
P29320	EPHA3
O15197	EPHB6
O95835	LATS1
Q16584	MAP3K11
Q14680	MELK
O00750	PIK3C2B
P40259	CD79B
O14980	XPO1
Q92800	EZH1
Q02223	TNFRSF17
Q13423	NNT
P26439	HSD3B2
P07195	LDHB
Q02809	PLOD1
Q12809	KCNH2
Q16647	PTGIS
Q04828	AKR1C1
P30968	GNRHR
P10826	RARB
P15291	B4GALT1
Q9Y666	SLC12A7
Q99624	SLC38A3
Q00796	SORD
P23921	RRM1
P08620	FGF4
P19801	AOC1
P48551	IFNAR2
Q96Q40	CDK15
P30872	SSTR1
P30049	ATP5F1D
P43155	CRAT
Q9P0J0	NDUFA13
P68871	HBB
P49788	RARRES1
P36896	ACVR1B
Q14654	KCNJ11
P11388	TOP2A
Q9NUB1	ACSS1
P40261	NNMT
P32929	CTH
P18283	GPX2
Q14833	GRM4
P29317	EPHA2
P50225	SULT1A1
P47929	LGALS7
P47929	LGALS7B
O94956	SLCO2B1
Q16678	CYP1B1
P22061	PCMT1
P48745	CCN3
Q9UKM7	MAN1B1
Q9BZX2	UCK2
Q9BY41	HDAC8
P51512	MMP16
P49789	FHIT
P36952	SERPINB5
P24557	TBXAS1
P50613	CDK7
O00469	PLOD2
P19971	TYMP
Q6NS38	ALKBH2
Q8IVL5	P3H2
Q00534	CDK6
Q96Q83	ALKBH3
P08263	GSTA1
Q9HBH5	RDH14
P62714	PPP2CB
Q16206	ENOX2
Q16790	CA9
P16422	EPCAM
P31350	RRM2
P54760	EPHB4
P48060	GLIPR1
Q9BUP3	HTATIP2
P31949	S100A11
P53041	PPP5C
Q14541	HNF4G
P12429	ANXA3
O15169	AXIN1
Q96GD4	AURKB
P01563	IFNA2
Q01344	IL5RA
P27816	MAP4
Q9NPC1	LTB4R2
O60656	UGT1A9
Q06278	AOX1
Q9UN88	GABRQ
Q9NPD5	SLCO1B3
P09238	MMP10
P24347	MMP11
O75900	MMP23B
Q15788	NCOA1
P20248	CCNA2
P31151	S100A7
O43293	DAPK3
P63151	PPP2R2A
Q16877	PFKFB4
Q00536	CDK16
P07737	PFN1
P59998	ARPC4
Q16654	PDK4
P19105	MYL12A
P26447	S100A4
O60218	AKR1B10
Q15648	MED1
P11172	UMPS
P19622	EN2
O14594	NCAN
P11233	RALA
Q13882	PTK6
P49765	VEGFB
P53667	LIMK1
P04731	MT1A
P18847	ATF3
Q9HBK9	AS3MT
Q9Y5S8	NOX1
Q9NY56	OBP2A
P04732	MT1E
P80297	MT1X
O75838	CIB2
Q96FQ6	S100A16
P12814	ACTN1
P51858	HDGF
P18669	PGAM1
P31260	HOXA10
P08648	ITGA5
P52597	HNRNPF
P00739	HPR
P35527	KRT9
P51884	LUM
P14923	JUP
P08779	KRT16
P37802	TAGLN2
Q9Y5S1	TRPV2
Q01995	TAGLN
P55073	DIO3
Q9UKI8	TLK1
O75385	ULK1
O15075	DCLK1
Q9H2X6	HIPK2
Q9UPZ9	CILK1
P53671	LIMK2
Q8TD08	MAPK15
Q04912	MST1R
Q15746	MYLK
O60285	NUAK1
Q9H093	NUAK2
Q9P286	PAK5
Q92482	AQP3
Q99814	EPAS1
Q96NY8	NECTIN4
Q99500	S1PR3
P09758	TACSTD2
Q9Y4W6	AFG3L2
P49588	AARS1
P08559	PDHA1
P19634	SLC9A1
P00439	PAH
Q09470	KCNA1
P54886	ALDH18A1
P10253	GAA
P22557	ALAS2
O95831	AIFM1
Q9UQD0	SCN8A
Q6PI48	DARS2
Q9GZR5	ELOVL4
Q5JTZ9	AARS2
Q9NY47	CACNA2D2
Q96KG9	SCYL1
Q13885	TUBB2A
Q9UK17	KCND3
P35219	CA8
Q03426	MVK
P16389	KCNA2
P22460	KCNA5
P17658	KCNA6
P48547	KCNC1
Q96PR1	KCNC2
Q14003	KCNC3
Q9H8P0	SRD5A3
P05129	PRKCG
P78508	KCNJ10
P50993	ATP1A2
P13637	ATP1A3
Q9NYL2	MAP3K20
P04080	CSTB
Q9NYP7	ELOVL5
Q8NI60	COQ8A
Q16512	PKN1
Q01814	ATP2B2
Q16720	ATP2B3
P37059	HSD17B2
Q9P0X4	CACNA1I
P12319	FCER1A
P35626	GRK3
P30613	PKLR
P13674	P4HA1
P49591	SARS1
O15496	PLA2G10
Q9HCC0	MCCC2
P02792	FTL
Q969P6	TOP1MT
Q9Y289	SLC5A6
P11177	PDHB
Q9BYZ2	LDHAL6B
Q9UHW9	SLC12A6
P13631	RARG
P21918	DRD5
P07864	LDHC
O00180	KCNK1
P50747	HLCS
P00387	CYB5R3
P48506	GCLC
O15403	SLC16A6
Q02338	BDH1
P31040	SDHA
P36021	SLC16A2
P23786	CPT2
Q9NVS9	PNPO
P37088	SCNN1A
O75489	NDUFS3
P03897	MT-ND3
Q14524	SCN5A
P30825	SLC7A1
P98194	ATP2C1
P08243	ASNS
P32322	PYCR1
P20061	TCN1
P29275	ADORA2B
P49902	NT5C2
Q04771	ACVR1
P13995	MTHFD2
Q96GD0	PDXP
O43676	NDUFB3
P34897	SHMT2
O75251	NDUFS7
P10828	THRB
Q16798	ME3
P08709	F7
P18825	ADRA2C
O95479	H6PD
P54368	OAZ1
Q14749	GNMT
P49069	CAMLG
P00505	GOT2
Q16719	KYNU
O15554	KCNN4
Q9UN76	SLC6A14
P10398	ARAF
P42684	ABL2
P10721	KIT
P32754	HPD
P22413	ENPP1
O43181	NDUFS4
P54687	BCAT1
P34903	GABRA3
Q12797	ASPH
P17174	GOT1
Q7Z2H8	SLC36A1
P16066	NPR1
P52569	SLC7A2
Q16878	CDO1
P45954	ACADSB
P03915	MT-ND5
P47895	ALDH1A3
Q9Y6M9	NDUFB9
P06126	CD1A
P43088	PTGFR
P12236	SLC25A6
Q02643	GHRHR
P30085	CMPK1
P33121	ACSL1
O60701	UGDH
P41439	FOLR3
Q13630	GFUS
Q16671	AMHR2
P48443	RXRG
P05141	SLC25A5
P25100	ADRA1D
P30838	ALDH3A1
O15382	BCAT2
P12268	IMPDH2
P15538	CYP11B1
P15121	AKR1B1
P21731	TBXA2R
P20839	IMPDH1
Q07912	TNK2
O95470	SGPL1
Q03013	GSTM4
P22352	GPX3
Q13002	GRIK2
P49019	HCAR3
O95180	CACNA1H
O60427	FADS1
P49747	COMP
P11217	PYGM
P02775	PPBP
P16860	NPPB
O60488	ACSL4
P41250	GARS1
P63316	TNNC1
P48549	KCNJ3
P22830	FECH
Q96RJ0	TAAR1
P11168	SLC2A2
P04004	VTN
P06870	KLK1
Q13126	MTAP
P16444	DPEP1
P00167	CYB5A
P07602	PSAP
Q7Z2W7	TRPM8
O15530	PDPK1
Q9BWD1	ACAT2
Q9BQE3	TUBA1C
Q9Y663	HS3ST3A1
P23677	ITPKA
O43570	CA12
P51151	RAB9A
P11310	ACADM
P10114	RAP2A
Q99250	SCN2A
Q9NY46	SCN3A
O15230	LAMA5
P05787	KRT8
P14543	NID1
P05981	HPN
P35346	SSTR5
P11216	PYGB
P20711	DDC
Q8TD30	GPT2
P09210	GSTA2
Q32P28	P3H1
Q8IVL6	P3H3
Q8N543	OGFOD1
Q9H6Z9	EGLN3
P22234	PAICS
Q8N142	ADSS1
O15460	P4HA2
Q9ULA0	DNPEP
P46439	GSTM5
P59796	GPX6
Q96SL4	GPX7
P23434	GCSH
Q14032	BAAT
Q9P0Z9	PIPOX
Q6TGC4	PADI6
P23743	DGKA
O43272	PRODH
Q9UGM1	CHRNA9
P28074	PSMB5
P50391	NPY4R
Q14627	IL13RA2
P06280	GLA
P09467	FBP1
Q8WXI7	MUC16
Q16831	UPP1
O14717	TRDMT1
P52848	NDST1
P53778	MAPK12
O00244	ATOX1
P54278	PMS2
P25311	AZGP1
P10632	CYP2C8
Q96CD2	PPCDC
P16152	CBR1
Q12756	KIF1A
Q9Y468	L3MBTL1
P58335	ANTXR2
P18085	ARF4
P16144	ITGB4
Q7L5Y9	MAEA
Q8TDV5	GPR119
Q15759	MAPK11
O15264	MAPK13
Q9GZP0	PDGFD
Q96AE4	FUBP1
Q02224	CENPE
P04234	CD3D
Q13421	MSLN
Q969F8	KISS1R
P27037	ACVR2A
P16615	ATP2A2
Q03431	PTH1R
P05186	ALPL
P11678	EPX
Q8IZS8	CACNA2D3
P62745	RHOB
Q95460	MR1
P33402	GUCY1A2
Q9Y2I1	NISCH
Q9NPC2	KCNK9
O00591	GABRP
P00709	LALBA
P29034	S100A2
P33260	CYP2C18
Q7LG56	RRM2B
Q07864	POLE
P07098	LIPF
Q9NS85	CA10
O75493	CA11
Q8N1Q1	CA13
Q07699	SCN1B
Q8IWT1	SCN4B
O15440	ABCC5
P51511	MMP15
Q9ULZ9	MMP17
Q8N119	MMP21
Q9NRE1	MMP26
P23258	TUBG1
O60658	PDE8A
Q9UNA0	ADAMTS5
Q15596	NCOA2
Q16651	PRSS8
P15085	CPA1
Q9BVJ7	DUSP23
Q13554	CAMK2B
Q14914	PTGR1
P51955	NEK2
Q9UGN5	PARP2
Q9NQS7	INCENP
P84077	ARF1
P62750	RPL23A
P62917	RPL8
P39023	RPL3
P08574	CYC1
P47985	UQCRFS1
Q9UBT6	POLK
P28838	LAP3
P30301	MIP
P28070	PSMB4
Q99436	PSMB7
Q9HB40	SCPEP1
P19784	CSNK2A2
P13073	COX4I1
P10606	COX5B
P09669	COX6C
Q9UNK4	PLA2G2D
Q9H2G2	SLK
Q9Y6F1	PARP3
Q15375	EPHA7
P04632	CAPNS1
Q969V6	MRTFA
P62330	ARF6
O15143	ARPC1B
O15144	ARPC2
Q15418	RPS6KA1
P11684	SCGB1A1
P35080	PFN2
P30419	NMT1
P55196	AFDN
Q86WA6	BPHL
P80192	MAP3K9
Q9HBL8	NMRAL1
Q9Y3I0	RTCB
Q99470	SDF2
P15170	GSPT1
P00558	PGK1
P02144	MB
P22570	FDXR
P35749	MYH11
P35241	RDX
P26572	MGAT1
P21283	ATP6V1C1
P16930	FAH
P50607	TUB
Q9GZU7	CTDSP1
P61024	CKS1B
P49368	CCT3
O75976	CPD
P14621	ACYP2
P62258	YWHAE
O60264	SMARCA5
Q16613	AANAT
Q9UQB9	AURKC
P61587	RND3
O75676	RPS6KA4
Q99661	KIF2C
O15111	CHUK
Q99835	SMO
Q16832	DDR2
Q9Y2U5	MAP3K2
Q5XXA6	ANO1
P57059	SIK1
Q8WXA8	HTR3C
Q9HB55	CYP3A43
P51812	RPS6KA3
Q05513	PRKCZ
Q9Y698	CACNG2
Q15878	CACNA1E
Q9UGJ0	PRKAG2
Q9UGI9	PRKAG3
Q96S86	HAPLN3
Q86UW8	HAPLN4
Q14520	HABP2
P62807	H2BC10
P62807	H2BC4
P62807	H2BC6
P62807	H2BC7
P62807	H2BC8
O95259	KCNH1
O00299	CLIC1
P67870	CSNK2B
Q86T13	CLEC14A
P09769	FGR
P54756	EPHA5
Q9Y2T6	GPR55
Q969S2	NEIL2
O95750	FGF19
P46663	BDKRB1
Q9UQL6	HDAC5
P07438	MT1B
P04733	MT1F
P13640	MT1G
P80294	MT1H
Q8N339	MT1M
P35556	FBN2
P10589	NR2F1
P09525	ANXA4
P43652	AFM
P30101	PDIA3
P50453	SERPINB9
Q8N1G2	CMTR1
Q9Y230	RUVBL2
Q15393	SF3B3
Q9NR28	DIABLO
P17980	PSMC3
O43399	TPD52L2
P19823	ITIH2
P35908	KRT2
P02750	LRG1
P46736	BRCC3
Q86YZ3	HRNR
P02538	KRT6A
P62241	RPS8
P46781	RPS9
Q15942	ZYX
P36894	BMPR1A
Q13873	BMPR2
P20393	NR1D1
Q14995	NR1D2
Q9UK32	RPS6KA6
Q9Y6E0	STK24
Q9H2K8	TAOK3
P35590	TIE1
Q86UE8	TLK2
Q9UKE5	TNIK
O00238	BMPR1B
Q14012	CAMK1
Q00532	CDKL1
Q9Y463	DYRK1B
Q9UF33	EPHA6
Q14164	IKBKE
Q9Y2K2	SIK3
O43283	MAP3K13
Q99759	MAP3K3
O95819	MAP4K4
Q9Y2H9	MAST1
P42679	MATK
Q9BUB5	MKNK1
Q9HBH9	MKNK2
P51956	NEK3
Q6P3R8	NEK5
Q16288	NTRK3
O96013	PAK4
Q9NQU5	PAK6
Q86V86	PIM3
Q8TBX8	PIP4K2C
Q99640	PKMYT1
O00444	PLK4
Q13523	PRP4K
Q9BRS2	RIOK1
Q9H0K1	SIK2
P36404	ARL2
Q16659	MAPK6
P41968	MC3R
Q9NPA2	MMP25
P53396	ACLY
O95977	S1PR4
P04196	HRG
P41238	APOBEC1
P20020	ATP2B1
Q9H2H9	SLC38A1
Q96QD8	SLC38A2
O75185	ATP2C2
Q16850	CYP51A1
Q9Y5Y9	SCN10A
O95069	KCNK2
P15382	KCNE1
P54289	CACNA2D1
P21817	RYR1
P35499	SCN4A
P48544	KCNJ5
Q15842	KCNJ8
Q9NZV8	KCND2
Q9NY72	SCN3B
Q09013	DMPK
Q13557	CAMK2D
P36871	PGM1
P46976	GYG1
P22459	KCNA4
Q59H18	TNNI3K
P33032	MC5R
Q8TD43	TRPM4
Q9Y6J6	KCNE2
Q8WWG9	KCNE4
Q8NFA2	NOXO1
Q14894	CRYM
Q9UG56	PISD
Q16787	LAMA3
P02458	COL2A1
O60568	PLOD3
Q9NSE4	IARS2
P37268	FDFT1
P51570	GALK1
P40429	RPL13A
P32019	INPP5B
P05062	ALDOB
Q96L12	CALR3
O43526	KCNQ2
O43525	KCNQ3
Q9NR82	KCNQ5
Q9BQB6	VKORC1
Q96PD7	DGAT2
O14791	APOL1
Q96DP5	MTFMT
P48764	SLC9A3
P54710	FXYD2
P05543	SERPINA7
P61457	PCBD1
Q12851	MAP4K2
Q9Y600	CSAD
P69905	HBA1
P69905	HBA2
P08185	SERPINA6
Q9UDX4	SEC14L3
O75311	GLRA3
P47871	GCGR
P51648	ALDH3A2
O95865	DDAH2
O60494	CUBN
P49366	DHPS
P02675	FGB
P10768	ESD
P04746	AMY2A
P26010	ITGB7
Q9ULX7	CA14
Q9UJT0	TUBE1
P25788	PSMA3
P09668	CTSH
Q96SW2	CRBN
Q9UHF0	TAC3
Q9Y616	IRAK3
Q15800	MSMO1
Q9BYV1	AGXT2
Q15031	LARS2
Q02252	ALDH6A1
P40939	HADHA
P47872	SCTR
P37058	HSD17B3
P0DMS8	ADORA3
Q16836	HADH
P54802	NAGLU
P41595	HTR2B
Q8TE23	TAS1R2
O15269	SPTLC1
P43353	ALDH3B1
Q7RTX0	TAS1R3
P48163	ME1
P16233	PNLIP
O00763	ACACB
P06732	CKM
P14868	DARS1
P51788	CLCN2
O15217	GSTA4
Q9Y2Q0	ATP8A1
P35247	SFTPD
P17213	BPI
P00568	AK1
P16519	PCSK2
O95838	GLP2R
Q8TCT1	PHOSPHO1
P55809	OXCT1
O00341	SLC1A7
O14880	MGST3
P35754	GLRX
Q16760	DGKD
O43766	LIAS
P54284	CACNB3
Q01668	CACNA1D
Q96FI4	NEIL1
P20807	CAPN3
P17538	CTRB1
P19099	CYP11B2
Q9Y5Y4	PTGDR2
Q13332	PTPRS
P23467	PTPRB
O14983	ATP2A1
P04118	CLPS
O14818	PSMA7
P24310	COX7A1
Q9Y6Y9	LY96
Q15119	PDK2
Q13555	CAMK2G
Q16762	TST
P09110	ACAA1
Q9UL51	HCN2
Q96S37	SLC22A12
Q01118	SCN7A
Q99712	KCNJ15
O43741	PRKAB2
P48050	KCNJ4
Q92806	KCNJ9
P25105	PTAFR
Q02818	NUCB1
P23276	KEL
O00303	EIF3F
P67936	TPM4
O75636	FCN3
P50914	RPL14
Q15637	SF1
Q9H422	HIPK3
Q9Y4K4	MAP4K5
O15146	MUSK
O75747	PIK3C2G
Q9Y6T7	DGKB
P48728	AMT
P78348	ASIC1
P43007	SLC1A4
P59768	GNG2
Q16348	SLC15A2
P20231	TPSB2
P49356	FNTB
Q9NQ25	SLAMF7
P46597	ASMT
Q8N8N7	PTGR2
Q15661	TPSAB1
Q92696	RABGGTA
P53611	RABGGTB
Q9NPJ3	ACOT13
Q14697	GANAB
Q7Z5B4	RIC3
P07498	CSN3
Q9BQI3	EIF2AK1
P07478	PRSS2
P04350	TUBB4A
P50440	GATM
O15399	GRIN2D
Q9UHI5	SLC7A8
O14732	IMPA2
Q14123	PDE1C
P31942	HNRNPH3
Q13237	PRKG2
Q08188	TGM3
O14936	CASK
Q9P2E9	RRBP1
P41743	PRKCI
P52564	MAP2K6
P27449	ATP6V0C
Q14432	PDE3A
Q92953	KCNB2
P31995	FCGR2C
P49257	LMAN1
Q8NI22	MCFD2
Q86U10	ASPG
P02679	FGG
P51168	SCNN1B
O00764	PDXK
O95139	NDUFB6
P49821	NDUFV1
P05165	PCCA
P28331	NDUFS1
O43678	NDUFA2
O43837	IDH3B
P35368	ADRA1B
P30043	BLVRB
P23378	GLDC
P51164	ATP4B
Q16772	GSTA3
P10696	ALPG
Q15858	SCN9A
P49773	HINT1
Q9UBX1	CTSF
Q14376	GALE
P05452	CLEC3B
Q9BY66	KDM5D
O14521	SDHD
Q99643	SDHC
Q5T601	ADGRF1
P09012	SNRPA
Q9Y3R4	NEU2
P05162	LGALS2
P38606	ATP6V1A
P25786	PSMA1
P11488	GNAT1
Q9P289	STK26
P61158	ACTR3
Q15120	PDK3
P17544	ATF7
P48723	HSPA13
Q07020	RPL18
P62277	RPS13
Q9BYT3	STK33
P51813	BMX
Q92772	CDKL2
Q8N8Y2	ATP6V0D2
P10620	MGST1
O95363	FARS2
O60547	GMDS
Q9ULU8	CADPS
Q99829	CPNE1
P50213	IDH3A
Q16602	CALCRL
Q15274	QPRT
P05023	ATP1A1
Q08493	PDE4C
Q99542	MMP19
Q9UHY7	ENOPH1
O00217	NDUFS8
O75746	SLC25A12
P38435	GGCX
Q9UN19	DAPP1
Q96LZ3	PPP3R2
O75936	BBOX1
P20618	PSMB1
P45880	VDAC2
O95749	GGPS1
P49720	PSMB3
Q6UWM7	LCTL
Q6NVY1	HIBCH
P31323	PRKAR2B
P49190	PTH2R
P10915	HAPLN1
Q14872	MTF1
P31946	YWHAB
P27348	YWHAQ
P29622	SERPINA4
P19827	ITIH1
Q9C098	DCLK3
Q9H2X9	SLC12A5
O15239	NDUFA1
P55011	SLC12A2
Q13621	SLC12A1
Q8N5Z0	AADAT
Q16478	GRIK5
P34096	RNASE4
P48664	SLC1A6
O75899	GABBR2
Q9H228	S1PR5
P63208	SKP1
Q96PY6	NEK1
P52429	DGKE
Q16773	KYAT1
P28221	HTR1D
Q9NYX4	CALY
Q8N9I0	SYT2
Q6YP21	KYAT3
Q9NXG6	P4HTM
Q08289	CACNB2
Q15825	CHRNA6
Q96MA6	AK8
P47898	HTR5A
Q8TCG2	PI4K2B
Q06033	ITIH3
Q9ULD8	KCNH3
Q86XP1	DGKH
P51170	SCNN1G
P49189	ALDH9A1
Q03154	ACY1
P22748	CA4
O60664	PLIN3
P46059	SLC15A1
O95255	ABCC6
P35243	RCVRN
Q8NFW8	CMAS
Q9UEW8	STK39
P37288	AVPR1A
Q02928	CYP4A11
O60894	RAMP1
P51800	CLCNKA
P09958	FURIN
P18846	ATF1
O95747	OXSR1
P09417	QDPR
Q13698	CACNA1S
Q6WRI0	IGSF10
Q9Y2Z4	YARS2
P43119	PTGIR
Q9HCR9	PDE11A
P14649	MYL6B
Q8WY07	SLC7A3
O43704	SULT1B1
P22792	CPN2
Q96RQ9	IL4I1
P30273	FCER1G
P33316	DUT
P02746	C1QB
P02747	C1QC
Q6IA69	NADSYN1
Q5JPH6	EARS2
P28066	PSMA5
Q9UM01	SLC7A7
P01591	JCHAIN
P29376	LTK
Q52WX2	SBK1
Q9UEE5	STK17A
O95670	ATP6V1G2
Q99584	S100A13
P09884	POLA1
P16219	ACADS
Q16134	ETFDH
Q7Z406	MYH14
P15259	PGAM2
O00142	TK2
Q8IYT8	ULK2
P26639	TARS1
Q70Z44	HTR3D
A5X5Y0	HTR3E
P51649	ALDH5A1
Q14353	GAMT
P55263	ADK
P56696	KCNQ4
Q9Y296	TRAPPC4
P48066	SLC6A11
Q9NSD5	SLC6A13
Q8NEV4	MYO3A
P15313	ATP6V1B1
Q12965	MYO1E
P47944	MT4
Q96D53	COQ8B
Q9H252	KCNH6
Q9NSA0	SLC22A11
P25815	S100P
P25787	PSMA2
Q9Y4I5	TESMIN
P46782	RPS5
O75348	ATP6V1G1
Q9NR33	POLE4
O60939	SCN2B
P19404	NDUFV2
P07814	EPRS1
Q08426	EHHADH
O43681	GET3
Q71U36	TUBA1A
Q96LB9	PGLYRP3
P13861	PRKAR2A
Q99705	MCHR1
P07919	UQCRH
O15145	ARPC3
Q96PD5	PGLYRP2
Q9UF02	CACNG5
P29973	CNGA1
Q8TF61	FBXO41
Q04917	YWHAH
Q8TDR2	STK35
O14976	GAK
Q92781	RDH5
P49247	RPIA
P16591	FER
P03923	MT-ND6
Q969G6	RFK
O95178	NDUFB2
P23919	DTYMK
O00204	SULT2B1
P09960	LTA4H
Q8WVQ1	CANT1
O60513	B4GALT4
Q9UJ70	NAGK
Q969I3	GLYATL1
Q8NBQ5	HSD17B11
P78334	GABRE
Q9UJM8	HAO1
P84098	RPL19
Q01581	HMGCS1
O75521	ECI2
Q8WWQ8	STAB2
Q13938	CAPS
P15880	RPS2
P31943	HNRNPH1
Q9UEW3	MARCO
P21291	CSRP1
O15393	TMPRSS2
P26640	VARS1
Q9Y285	FARSA
O75380	NDUFS6
P07437	TUBB
P23368	ME2
O43674	NDUFB5
P08173	CHRM4
P05166	PCCB
P48507	GCLM
P23416	GLRA2
Q00975	CACNA1B
P30520	ADSS2
Q16774	GUK1
O60840	CACNA1F
Q86US8	SMG6
O43617	TRAPPC3
Q9BVA1	TUBB2B
O14764	GABRD
P61927	RPL37
P36542	ATP5F1C
P02689	PMP2
Q86VU5	COMTD1
P36405	ARL3
P02708	CHRNA1
Q9UBN1	CACNG4
Q9BXT2	CACNG6
Q8WXS5	CACNG8
P10412	H1-4
P43487	RANBP1
Q6V0L0	CYP26C1
Q9NR63	CYP26B1
P04217	A1BG
P31152	MAPK4
P51957	NEK4
Q9BQ31	KCNS3
O75912	DGKI
Q96A05	ATP6V1E2
P23415	GLRA1
Q96T66	NMNAT3
Q15750	TAB1
Q75N90	FBN3
Q6ZN16	MAP3K15
P05546	SERPIND1
Q9H4B7	TUBB1
Q6PHW0	IYD
Q9Y619	SLC25A15
P53609	PGGT1B
Q14330	GPR18
Q9UJT1	TUBD1
Q9BZV3	IMPG2
Q9H1R3	MYLK2
P42681	TXK
Q32MK0	MYLK3
P0DJD9	PGA5
Q7L3T8	PARS2
Q9NY65	TUBA8
Q9NXE4	SMPD4
Q9NRX3	NDUFA4L2
Q9UKG9	CROT
O75600	GCAT
Q14181	POLA2
O75306	NDUFS2
Q8N0U8	VKORC1L1
Q99418	CYTH2
P55769	SNU13
P25789	PSMA4
P54819	AK2
Q8N907	DAND5
Q8N5S9	CAMKK1
Q969I6	SLC38A4
P17050	NAGA
Q9NVH6	TMLHE
Q9BXJ7	AMN
Q05932	FPGS
Q6UWN8	SPINK6
Q9Y266	NUDC
Q86VZ1	P2RY8
Q96ER9	CCDC51
Q9Y234	LIPT1
Q9UJS0	SLC25A13
Q9HD40	SEPSECS
Q9BW92	TARS2
P14770	GP9
Q9NZK7	PLA2G2E
O43169	CYB5B
Q5JVS0	HABP4
O95298	NDUFC2
Q02641	CACNB1
P52961	ART1
P07686	HEXB
Q9NZD2	GLTP
Q9ULW8	PADI3
Q9Y277	VDAC3
Q9UHQ9	CYB5R1
O15304	SIVA1
P62269	RPS18
Q6IQ20	NAPEPLD
P48729	CSNK1A1
O14735	CDIPT
P07451	CA3
O15511	ARPC5
P22314	UBA1
Q9UHC3	ASIC3
O15375	SLC16A5
O75911	DHRS3
O60882	MMP20
Q9H169	STMN4
Q86W47	KCNMB4
Q8NEY4	ATP6V1C2
Q9NSD9	FARSB
Q9UDW1	UQCR10
O60896	RAMP3
P49619	DGKG
P23469	PTPRE
P22695	UQCRC2
P15954	COX7C
P19961	AMY2B
Q0VD83	APOBR
P47775	GPR12
Q99677	LPAR4
P48167	GLRB
O94903	PLPBP
Q8NCM2	KCNH5
Q8TDN2	KCNV2
Q14722	KCNAB1
Q13303	KCNAB2
Q96NR8	RDH12
P43080	GUCA1A
Q8N8R3	SLC25A29
P12532	CKMT1A
P12532	CKMT1B
P26440	IVD
P17540	CKMT2
Q9UP95	SLC12A4
P36873	PPP1CC
Q15075	EEA1
P49354	FNTA
P08048	ZFY
O43252	PAPSS1
P14927	UQCRB
P24311	COX7B
Q460N3	PARP15
Q9Y6I3	EPN1
Q96BH3	ELSPBP1
Q9NYQ3	HAO2
Q8NG66	NEK11
P35913	PDE6B
Q8WYK2	JDP2
Q9NRP7	STK36
Q9Y2H1	STK38L
Q6PHR2	ULK3
Q8TD19	NEK9
P78356	PIP4K2B
O14730	RIOK3
Q9H3Y6	SRMS
Q9BPV8	P2RY13
Q93050	ATP6V0A1
P54750	PDE1A
Q9HBG4	ATP6V0A4
Q14565	DMC1
O14949	UQCRQ
P34981	TRHR
Q99884	SLC6A7
O60678	PRMT3
Q03393	PTS
Q86YB8	ERO1B
O94804	STK10
Q8IUZ5	PHYKPL
Q96NX5	CAMK1G
